"CheckItem","Category","Result","Details","Timestamp"
"W-08","Service Management","Vulnerable","The registry key for auto-sharing is not set, which defaults to enabled.","2025-09-14 02:00:35"
"W-09","Service Management","Vulnerable","The following generally unnecessary services are running: Browser (Name: bowser, Status: Running, StartMode: Manual). Additionally, the following services require manual review based on system role: Windows Update (Name: wuauserv, Status: Stopped, StartMode: Manual); Cryptographic Services (Name: CryptSvc, Status: Running, StartMode: Automatic); DHCP Client (Name: Dhcp, Status: Running, StartMode: Automatic); Distributed Link Tracking Client (Name: TrkWks, Status: Running, StartMode: Automatic); DNS Client (Name: Dnscache, Status: Running, StartMode: Automatic); Print Spooler (Name: Spooler, Status: Running, StartMode: Automatic).","2025-09-14 02:00:35"
"W-10","Service Management","Vulnerable","The World Wide Web Publishing Service (W3SVC) is running. If this service is not required, it should be disabled.","2025-09-14 02:00:35"
"W-11","Service Management","Good","Directory browsing is disabled on all detected IIS websites.","2025-09-14 02:00:35"
"W-12","Service Management","Vulnerable","Excessive permissions granted to 'Everyone' on the default CGI directory. The 'Everyone' group has 'Write, Synchronize' permissions on 'C:\inetpub\scripts'.","2025-09-14 02:00:38"
"W-13","Service Management","Good","Parent path access is disabled on all detected IIS websites.","2025-09-14 02:00:39"
"W-14","Service Management","Good","This check (W-14) is not applicable for IIS 7.0 (Windows Server 2008) and later versions. Current OS version is 10.0.","2025-09-14 02:00:43"
"W-15","Service Management","Good","All detected IIS application pools are using ApplicationPoolIdentity.","2025-09-14 02:00:43"
"W-16","Service Management","Good","No prohibited links or shortcuts found in IIS website directories.","2025-09-14 02:00:43"
"W-17","Service Management","Manual Check Required","IIS is installed. File upload and download size restrictions (W-17) require manual verification due to their context-dependent nature and the need to inspect application-specific configurations.\n\nManual Check Steps (refer to guide for details):
1. Inspect 'applicationHost.config' (typically %SystemRoot%\System32\inetsrv\config\applicationHost.config) for global settings like 'maxAllowedContentLength'.
2. Inspect 'web.config' files in website root directories for site-specific settings like 'maxAllowedContentLength', 'MaxRequestEntityAllowed', and 'bufferingLimit'.
3. Verify if the web application actually uses file upload/download features and if the configured limits are appropriate for the system's role.
Default values (if not explicitly set) are: maxAllowedContentLength (30MB), MaxRequestEntityAllowed (200000 bytes), bufferingLimit (4MB).","2025-09-14 02:00:43"
"W-18","Service Management","Good","No IIS DB connection vulnerabilities found on any detected websites.","2025-09-14 02:00:43"
"W-19","Service Management","Good","This check (W-19) is not applicable for Windows 2003 (IIS 6.0) and later versions. Current OS version is 10.0.","2025-09-14 02:00:44"
"W-20","Service Management","Good","No excessive 'Everyone' permissions found on IIS data files.","2025-09-14 02:00:44"
"W-21","Service Management","Good","No vulnerable unused script mappings found.","2025-09-14 02:00:44"
"W-22","Service Management","Good","This check is not applicable for IIS 6.0 and later versions. Current OS version is 10.0.","2025-09-14 02:00:44"
"W-23","Service Management","Good","WebDAV module is not enabled in IIS.","2025-09-14 02:00:44"
"W-24","Service Management","Vulnerable","NetBIOS over TCP/IP binding is enabled on the following adapters: Intel(R) PRO/1000 MT Desktop Adapter. It should be disabled.","2025-09-14 02:00:44"
"W-25","Service Management","Vulnerable","Standard IIS FTP service (FTPSVC) is running. It should be disabled if not in use or replaced with a secure alternative (SFTP/FTPS).","2025-09-14 02:00:44"
"W-26","Service Management","Good","All checked FTP site home directories have appropriate permissions.","2025-09-14 02:00:44"
"W-27","Service Management","Good","Anonymous FTP access is disabled on all checked FTP sites.","2025-09-14 02:00:44"
"W-28","Service Management","Vulnerable","FTP access on the following sites is not restricted by IP address (default is allow): Default FTP Site.","2025-09-14 02:00:44"
"W-29","Service Management","Good","DNS Zone Transfer is restricted or disabled on all detected DNS zones.","2025-09-14 02:00:44"
"W-30","Service Management","Good","This check is not applicable for OS versions newer than Windows 2003. Current OS version is 10.0.","2025-09-14 02:00:45"
"W-31","Service Management","Good","Operating system (Microsoft Windows Server 2019 Standard Evaluation) is a newer version (Windows Server 2016/2019 or later) which typically does not use traditional service packs. Regular updates are expected.","2025-09-14 02:00:45"
"W-58","Service Management","Good","Terminal Services encryption level is set to 2 (Recommended: >= 2).","2025-09-14 02:00:45"
"W-59","Service Management","Vulnerable","IIS is not configured to hide the web service information (removeServerHeader is false).","2025-09-14 02:00:45"
"W-60","Service Management","Vulnerable","SNMP service is running.","2025-09-14 02:00:45"
"W-61","Service Management","Good","SNMP service is running and uses non-default community strings: .","2025-09-14 02:00:45"
"W-62","Service Management","Vulnerable","SNMP service is running and configured to accept packets from all hosts (PermittedManagers is not set or empty).","2025-09-14 02:00:45"
"W-63","Service Management","Manual Check Required","DNS Server service is running. Dynamic update settings for each zone require manual verification (DNSMGMT.MSC).","2025-09-14 02:00:45"
"W-64","Service Management","Manual Check Required","IIS (HTTP) service is running. HTTP banner information requires manual verification (refer to W-59 for header checks).
FTP service is not running or not installed. (Good)
SMTP service is not running or not installed. (Good)","2025-09-14 02:00:45"
"W-65","Service Management","Good","Telnet service is not installed. (Good)","2025-09-14 02:00:45"
"W-66","Service Management","Good","No System DSNs found. (Good)","2025-09-14 02:00:45"
"W-67","Service Management","Vulnerable","Remote terminal connection timeout (MaxIdleTime) is set to 0 (never disconnect).","2025-09-14 02:00:45"
"W-68","Service Management","Manual Check Required","Found 134 scheduled tasks. Detailed information is available in the JSON report.","2025-09-14 02:00:46"
"W-32","Patch Management","Manual Check Required","Windows Update service (wuauserv) is installed but not running. Manual review of system patch status is required to ensure latest hotfixes are applied.","2025-09-14 02:00:46"
"W-33","Patch Management","Manual Check Required","Windows Defender Antivirus Service is running. Manual review of its update status and other installed antivirus solutions is required.","2025-09-14 02:00:46"
"W-69","Patch Management","Manual Check Required","Security event log configuration: 
  - Maximum Size: 20 MB
  - Retention Policy: Circular
Detailed audit policy settings require manual verification (SECPOL.MSC or GPEDIT.MSC).","2025-09-14 02:00:46"
"W-34","Log Management","Manual Check Required","Regular review, analysis, and reporting of security, application, and system logs is a procedural check that requires manual verification.","2025-09-14 02:00:46"
"W-35","Log Management","Good","Remote Registry Service is stopped. (Good)","2025-09-14 02:00:46"
"W-70","Log Management","Vulnerable","Some event logs do not meet the recommended size or retention policies.
Application Log: Vulnerable. Retention policy is 'Overwrite events as needed' (Circular).  Max Size: 20480 KB, Mode: Circular.
System Log: Vulnerable. Retention policy is 'Overwrite events as needed' (Circular).  Max Size: 20480 KB, Mode: Circular.
Security Log: Vulnerable. Retention policy is 'Overwrite events as needed' (Circular).  Max Size: 20480 KB, Mode: Circular.","2025-09-14 02:00:46"
"W-71","Log Management","Good","All checked log directories do not have 'Everyone' access permissions.
Directory 'C:\Windows\System32\config' does not have 'Everyone' access permissions. 
Directory 'C:\Windows\System32\LogFiles' does not have 'Everyone' access permissions. ","2025-09-14 02:00:46"
"W-36","Security Management","Vulnerable","No active antivirus program detected by Windows Security Center.","2025-09-14 02:00:46"
"W-37","Security Management","Good","SAM file access permissions are appropriately restricted to Administrators and System.","2025-09-14 02:00:46"
"W-38","Security Management","Vulnerable","Screensaver settings are vulnerable: Screensaver is not enabled. Screensaver is not password protected. ","2025-09-14 02:00:46"
"W-39","Security Management","Good","The 'Shutdown: Allow system to be shut down without having to log on' policy is disabled.","2025-09-14 02:00:50"
"W-40","Security Management","Vulnerable","'Force shutdown from a remote system' policy (SeRemoteShutdownPrivilege) not found in security policy export.","2025-09-14 02:00:53"
"W-41","Security Management","Good","The 'Audit: Shut down system immediately if unable to log security audits' policy is disabled.","2025-09-14 02:00:54"
"W-42","Security Management","Vulnerable","System.Object[]","2025-09-14 02:00:54"
"W-43","Security Management","Good","Autologon is disabled (AutoAdminLogon value is absent or 0).","2025-09-14 02:00:54"
"W-44","Security Management","Vulnerable","'Devices: Allow users to format and eject removable media' policy (SeFormatVolumePrivilege) not found in security policy export.","2025-09-14 02:00:55"
"W-45","Security Management","Vulnerable","No encryptable volumes found or BitLocker is not enabled on any fixed drives. Disk volume encryption is not configured.","2025-09-14 02:00:55"
"W-72","Security Management","Vulnerable","Some DoS defense registry settings are not configured as recommended: SynAttackProtect is not set to 1 or 2 (Current: Not Set). 
EnableDeadGWDetect is not set to 0 (Current: Not Set). 
KeepAliveTime is not set to 300000 (5 minutes) (Current: Not Set milliseconds). 
NoNameReleaseOnDemand is not set to 1 (Current: Not Set). ","2025-09-14 02:00:55"
"W-73","Security Management","Vulnerable","The 'Devices: Prevent users from installing printer drivers' policy is disabled (Current value: 0).","2025-09-14 02:00:59"
"W-74","Security Management","Vulnerable","Session management policies are vulnerable: 'Microsoft network server: Disconnect clients when logon hours expire' policy is not enabled (Current: 0). 
'Microsoft network server: Amount of idle time required before suspending session' policy is not set to 900 seconds (Current: 0 seconds). ","2025-09-14 02:00:59"
"W-75","Security Management","Vulnerable","Logon warning message title or text is not set. Title is missing. Text is missing. ","2025-09-14 02:00:59"
"W-76","Security Management","Good","All checked user home directories do not have 'Everyone' access permissions. Home directory 'C:\Users\vagrant' for user '\' does not have 'Everyone' access permissions. 
Home directory 'C:\Windows\ServiceProfiles\NetworkService' for user '\' does not have 'Everyone' access permissions. 
Home directory 'C:\Windows\ServiceProfiles\LocalService' for user '\' does not have 'Everyone' access permissions. 
Home directory 'C:\Windows\system32\config\systemprofile' for user '\' does not have 'Everyone' access permissions. ","2025-09-14 02:00:59"
"W-77","Security Management","Vulnerable","The 'Network security: LAN Manager authentication level' policy is set to 0, which is weaker than recommended (Should be 4 or 5).","2025-09-14 02:00:59"
"W-78","Security Management","Vulnerable","System.Object[]","2025-09-14 02:01:01"
"W-79","Security Management","Good","All fixed drives are using the NTFS file system.","2025-09-14 02:01:01"
"W-80","Security Management","Vulnerable","Computer account password policies are vulnerable: 'Domain member: Maximum machine account password age' policy is not set to 90 days (Current: 0 days). ","2025-09-14 02:01:01"
"W-81","Security Management","Manual Check Required","The following startup programs were found. Manual review is required to identify and disable/remove any unnecessary or suspicious ones.

Name           FullName                                      Source                    
----           --------                                      ------                    
SecurityHealth C:\Windows\system32\SecurityHealthSystray.exe Local Machine Run Registry
VBoxTray       C:\Windows\system32\VBoxTray.exe              Local Machine Run Registry


","2025-09-14 02:01:10"
"W-82","Security Management","Good","SQL Server service is not running or not installed. This check is not applicable.","2025-09-14 02:01:10"
